envio,sender,latencia_ms
1,Nodo1,0.2868000010494143
2,Nodo1,0.0839000022097025
3,Nodo1,0.04610000178217888
4,Nodo1,0.053899999329587445
5,Nodo1,0.0779999973019585
6,Nodo1,0.10370000018156134
7,Nodo1,0.04949999856762588
8,Nodo1,0.0413999987358693
9,Nodo1,0.03979999746661633
10,Nodo1,0.04100000296602957
11,Nodo1,0.03909999941242859
12,Nodo1,0.037999998312443495
13,Nodo1,0.03899999865097925
14,Nodo1,0.03939999805879779
15,Nodo1,0.039100003050407395
16,Nodo1,0.03859999924316071
17,Nodo1,0.03819999983534217
18,Nodo1,0.04350000017439015
19,Nodo1,0.03840000135824084
20,Nodo1,0.038899997889529914
21,Nodo1,0.04400000034365803
22,Nodo1,0.038800000766059384
23,Nodo1,0.03780000042752363
24,Nodo1,0.037900001188972965
25,Nodo1,0.03840000135824084
26,Nodo1,0.03789999755099416
27,Nodo1,0.03939999805879779
28,Nodo1,0.0380000019504223
29,Nodo1,0.03809999907389283
30,Nodo1,0.03809999907389283
31,Nodo1,0.041700001020217314
32,Nodo1,0.04709999848273583
33,Nodo1,0.0413999987358693
34,Nodo1,0.1350999991700519
35,Nodo1,0.0779999973019585
36,Nodo1,0.094600000011269
37,Nodo1,0.08259999958681874
38,Nodo1,0.05210000017541461
39,Nodo1,0.07579999873996712
40,Nodo1,0.04640000042854808
41,Nodo1,0.040499999158782884
42,Nodo1,0.039599999581696466
43,Nodo1,0.038200003473320976
44,Nodo1,0.03900000228895806
45,Nodo1,0.03840000135824084
46,Nodo1,0.0824999988253694
47,Nodo1,0.06439999924623407
48,Nodo1,0.05860000237589702
49,Nodo1,0.06749999738531187
50,Nodo1,0.04520000220509246
51,Nodo1,0.04039999839733355
52,Nodo1,0.048000001697801054
53,Nodo1,0.039599999581696466
54,Nodo1,0.12679999781539664
55,Nodo1,0.046799999836366624
56,Nodo1,0.14060000103199854
57,Nodo1,0.06639999992330559
58,Nodo1,0.049199999921256676
59,Nodo1,0.05410000085248612
60,Nodo1,0.042100000428035855
61,Nodo1,0.053099996875971556
62,Nodo1,0.06550000034621917
63,Nodo1,0.05680000322172418
64,Nodo1,0.04940000144415535
65,Nodo1,0.04099999932805076
66,Nodo1,0.03989999822806567
67,Nodo1,0.041799998143687844
68,Nodo1,0.03899999865097925
69,Nodo1,0.03819999983534217
70,Nodo1,0.03810000271187164
71,Nodo1,0.037500001781154424
72,Nodo1,0.037599998904624954
73,Nodo1,0.09870000212686136
74,Nodo1,0.043300002289470285
75,Nodo1,0.03849999848171137
76,Nodo1,0.03730000025825575
77,Nodo1,0.03720000313478522
78,Nodo1,0.16759999925852753
79,Nodo1,0.047900000936351717
80,Nodo1,0.0700999989931006
81,Nodo1,0.05720000262954272
82,Nodo1,0.04350000017439015
83,Nodo1,0.0413999987358693
84,Nodo1,0.04180000178166665
85,Nodo1,0.05929999679210596
86,Nodo1,0.0684000006003771
87,Nodo1,0.04519999856711365
88,Nodo1,0.040499999158782884
89,Nodo1,0.03819999983534217
90,Nodo1,0.04569999873638153
91,Nodo1,0.03909999941242859
92,Nodo1,0.03810000271187164
93,Nodo1,0.03870000000461005
94,Nodo1,0.03899999865097925
95,Nodo1,0.0411000000895001
96,Nodo1,0.11420000009820797
97,Nodo1,0.17169999773614109
98,Nodo1,0.1373999984934926
99,Nodo1,0.09569999747327529
100,Nodo1,0.07610000102431513
