envio,sender,latencia_ms
1,Nodo2,0.2584999892860651
2,Nodo2,0.10649999603629112
3,Nodo2,0.10289996862411499
4,Nodo2,0.08949986658990383
5,Nodo2,0.07870001718401909
6,Nodo2,0.08020014502108097
7,Nodo2,0.07580011151731014
8,Nodo2,0.08429982699453831
9,Nodo2,0.07319985888898373
10,Nodo2,0.06939982995390892
11,Nodo2,0.08619995787739754
12,Nodo2,0.08390005677938461
13,Nodo2,0.0724999699741602
14,Nodo2,0.0925001222640276
15,Nodo2,0.07960014045238495
16,Nodo2,0.07640011608600616
17,Nodo2,0.07160007953643799
18,Nodo2,0.07659988477826118
19,Nodo2,0.07200008258223534
20,Nodo2,0.07269997149705887
21,Nodo2,0.08420017547905445
22,Nodo2,0.08519995026290417
23,Nodo2,0.09480002336204052
24,Nodo2,0.11150003410875797
25,Nodo2,0.1113000325858593
26,Nodo2,0.09139999747276306
27,Nodo2,0.09909993968904018
28,Nodo2,0.08459994569420815
29,Nodo2,0.11679995805025101
30,Nodo2,0.14210003428161144
31,Nodo2,0.12170011177659035
32,Nodo2,0.18390011973679066
33,Nodo2,0.2747001126408577
34,Nodo2,0.14619994908571243
35,Nodo2,0.06780005060136318
36,Nodo2,0.060999998822808266
37,Nodo2,0.09360001422464848
38,Nodo2,0.09210011921823025
39,Nodo2,0.06729993037879467
40,Nodo2,0.06369990296661854
41,Nodo2,0.07740012370049953
42,Nodo2,0.07980014197528362
43,Nodo2,0.06420002318918705
44,Nodo2,0.058999983593821526
45,Nodo2,0.11220015585422516
46,Nodo2,0.09610014967620373
47,Nodo2,0.0967998057603836
48,Nodo2,0.07609999738633633
49,Nodo2,0.08730008266866207
50,Nodo2,0.09079999290406704
51,Nodo2,0.07660011760890484
52,Nodo2,0.10109995491802692
53,Nodo2,0.20909984596073627
54,Nodo2,0.1121999230235815
55,Nodo2,0.1067998819053173
56,Nodo2,0.08679996244609356
57,Nodo2,0.08349982090294361
58,Nodo2,0.09349989704787731
59,Nodo2,0.0779998954385519
60,Nodo2,0.08490006439387798
61,Nodo2,0.08989986963570118
62,Nodo2,0.06780005060136318
63,Nodo2,0.07020006887614727
64,Nodo2,0.06400002166628838
65,Nodo2,0.06580003537237644
66,Nodo2,0.062400009483098984
67,Nodo2,0.06029987707734108
68,Nodo2,0.06110011599957943
69,Nodo2,0.06160000339150429
70,Nodo2,0.06069988012313843
71,Nodo2,0.060999998822808266
72,Nodo2,0.06309989839792252
73,Nodo2,0.06440002471208572
74,Nodo2,0.11380016803741455
75,Nodo2,0.08810008876025677
76,Nodo2,0.11309981346130371
77,Nodo2,0.1029998529702425
78,Nodo2,0.07870001718401909
79,Nodo2,0.09580003097653389
80,Nodo2,0.08059991523623466
81,Nodo2,0.07319985888898373
82,Nodo2,0.07569999434053898
83,Nodo2,0.07670000195503235
84,Nodo2,0.0795999076217413
85,Nodo2,0.08819997310638428
86,Nodo2,0.08110003545880318
87,Nodo2,0.07670000195503235
88,Nodo2,0.09410013444721699
89,Nodo2,0.08249981328845024
90,Nodo2,0.08360017091035843
91,Nodo2,0.0771000050008297
92,Nodo2,0.0904998742043972
93,Nodo2,0.08469983004033566
94,Nodo2,0.08420017547905445
95,Nodo2,0.08570007048547268
96,Nodo2,0.08869986049830914
97,Nodo2,0.09159999899566174
98,Nodo2,0.08899997919797897
99,Nodo2,0.08970010094344616
100,Nodo2,0.08190004155039787
